Country.of.Origin,Region.Name,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
Colombia,South America,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,1775
Ethiopia,Africa,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84,1550
Brazil,South America,Natural / Dry,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,1260
Colombia,South America,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,1700
Kenya,Africa,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,1200
Kenya,Africa,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,1650
Uganda,Africa,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84,1700
Brazil,South America,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,890
Mexico,Mexico,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92,1300
Thailand,Asia,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92,1350
Brazil,South America,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,934
Taiwan,Asia,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,1200
Colombia,South America,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,1775
Taiwan,Asia,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,950
Colombia,South America,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,1550
Mexico,Mexico,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,900
Mexico,Mexico,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92,1500
Mexico,Mexico,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92,1400
Colombia,South America,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83,2527
Costa Rica,Central America,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83,1850
Guatemala,Central America,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83,1500
Brazil,South America,Natural / Dry,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,1
Taiwan,Asia,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83,525
Ethiopia,Africa,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83,1676.5
Brazil,South America,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,1200
Costa Rica,Central America,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83,1300
Guatemala,Central America,Washed / Wet,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,83.83,1219.2
